REGION,WEEK,YEAR,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
Iowa,42,2017,138,1,0,0.72,0.72,0
Kansas,42,2017,75,0,0,0,0,0
Kentucky,42,2017,300,1,0,0.33,0.33,0
Louisiana,42,2017,535,15,1,2.99,2.8,0.19
Maryland,42,2017,127,1,0,0.79,0.79,0
Massachusetts,42,2017,461,2,0,0.43,0.43,0
Michigan,42,2017,750,6,0,0.8,0.8,0
Minnesota,42,2017,298,3,0,1.01,1.01,0
Mississippi,42,2017,79,5,0,6.33,6.33,0
Missouri,42,2017,568,2,0,0.35,0.35,0
Montana,42,2017,85,0,0,0,0,0
Nebraska,42,2017,119,1,1,1.68,0.84,0.84
Nevada,42,2017,19,1,0,5.26,5.26,0
New Mexico,42,2017,247,4,0,1.62,1.62,0
New York,42,2017,1513,11,4,0.99,0.73,0.26
North Carolina,42,2017,232,3,0,1.29,1.29,0
Ohio,42,2017,1197,12,4,1.34,1,0.33
Oklahoma,42,2017,193,4,1,2.59,2.07,0.52
Oregon,42,2017,320,6,3,2.81,1.88,0.94
Pennsylvania,42,2017,350,0,0,0,0,0
South Carolina,42,2017,230,1,0,0.43,0.43,0
South Dakota,42,2017,57,0,0,0,0,0
Tennessee,42,2017,154,0,3,1.95,0,1.95
Texas,42,2017,1453,20,12,2.2,1.38,0.83
Utah,42,2017,554,9,2,1.99,1.62,0.36
Vermont,42,2017,47,2,0,4.26,4.26,0
Virginia,42,2017,188,3,0,1.6,1.6,0
Washington,42,2017,716,13,2,2.09,1.82,0.28
West Virginia,42,2017,460,0,0,0,0,0
Wisconsin,42,2017,772,7,2,1.17,0.91,0.26
Puerto Rico,42,2017,0,0,0,0,0,0
Alabama,43,2017,476,9,18,5.67,1.89,3.78
Alaska,43,2017,15,2,0,13.33,13.33,0
Arizona,43,2017,175,6,0,3.43,3.43,0
Arkansas,43,2017,74,5,0,6.76,6.76,0
California,43,2017,922,34,3,4.01,3.69,0.33
Colorado,43,2017,424,6,0,1.42,1.42,0
Connecticut,43,2017,372,1,2,0.81,0.27,0.54
Delaware,43,2017,107,3,0,2.8,2.8,0
Georgia,43,2017,773,20,3,2.98,2.59,0.39
Hawaii,43,2017,126,0,0,0,0,0
Idaho,43,2017,44,0,2,4.55,0,4.55
Illinois,43,2017,219,1,0,0.46,0.46,0
Indiana,43,2017,142,0,1,0.7,0,0.7
Iowa,43,2017,96,0,0,0,0,0
Kansas,43,2017,83,0,0,0,0,0
Kentucky,43,2017,336,1,1,0.6,0.3,0.3
Louisiana,43,2017,500,21,5,5.2,4.2,1
Maryland,43,2017,132,0,0,0,0,0
Massachusetts,43,2017,488,1,2,0.61,0.2,0.41
Michigan,43,2017,798,7,0,0.88,0.88,0
Minnesota,43,2017,285,2,1,1.05,0.7,0.35
Mississippi,43,2017,69,13,0,18.84,18.84,0
Missouri,43,2017,512,1,0,0.2,0.2,0
Montana,43,2017,89,0,0,0,0,0
Nebraska,43,2017,113,1,0,0.88,0.88,0
Nevada,43,2017,21,1,0,4.76,4.76,0
New Mexico,43,2017,317,4,0,1.26,1.26,0
New York,43,2017,1632,18,4,1.35,1.1,0.25
North Carolina,43,2017,277,3,2,1.81,1.08,0.72
Ohio,43,2017,1346,8,1,0.67,0.59,0.07
Oklahoma,43,2017,214,2,0,0.93,0.93,0
Oregon,43,2017,301,7,2,2.99,2.33,0.66
Pennsylvania,43,2017,356,2,1,0.84,0.56,0.28
South Carolina,43,2017,293,2,0,0.68,0.68,0
South Dakota,43,2017,53,0,0,0,0,0
Tennessee,43,2017,124,1,1,1.61,0.81,0.81
Texas,43,2017,1606,34,17,3.18,2.12,1.06
Utah,43,2017,558,7,0,1.25,1.25,0
Vermont,43,2017,55,0,0,0,0,0
Virginia,43,2017,233,3,1,1.72,1.29,0.43
Washington,43,2017,711,12,3,2.11,1.69,0.42
West Virginia,43,2017,428,0,0,0,0,0
Wisconsin,43,2017,670,4,0,0.6,0.6,0
Puerto Rico,43,2017,0,0,0,0,0,0
Alabama,44,2017,563,5,25,5.33,0.89,4.44
Alaska,44,2017,19,2,0,10.53,10.53,0
Arizona,44,2017,208,2,1,1.44,0.96,0.48
Arkansas,44,2017,69,2,0,2.9,2.9,0
California,44,2017,1016,52,15,6.59,5.12,1.48
Colorado,44,2017,462,18,1,4.11,3.9,0.22
Connecticut,44,2017,429,5,1,1.4,1.17,0.23
Delaware,44,2017,136,1,0,0.74,0.74,0
Georgia,44,2017,874,18,6,2.75,2.06,0.69
Hawaii,44,2017,186,3,3,3.23,1.61,1.61
Idaho,44,2017,48,0,1,2.08,0,2.08
Illinois,44,2017,174,6,0,3.45,3.45,0
Indiana,44,2017,166,4,0,2.41,2.41,0
Iowa,44,2017,126,0,0,0,0,0
Kansas,44,2017,85,1,0,1.18,1.18,0
Kentucky,44,2017,308,2,0,0.65,0.65,0
Louisiana,44,2017,651,38,9,7.22,5.84,1.38
Maryland,44,2017,124,1,0,0.81,0.81,0
Massachusetts,44,2017,468,5,0,1.07,1.07,0
Michigan,44,2017,860,8,0,0.93,0.93,0
Minnesota,44,2017,250,2,3,2,0.8,1.2
Mississippi,44,2017,82,13,0,15.85,15.85,0
Missouri,44,2017,592,33,3,6.08,5.57,0.51
Montana,44,2017,98,0,0,0,0,0
Nebraska,44,2017,114,1,0,0.88,0.88,0
Nevada,44,2017,27,6,0,22.22,22.22,0
New Mexico,44,2017,375,20,1,5.6,5.33,0.27
New York,44,2017,1654,16,5,1.27,0.97,0.3
North Carolina,44,2017,332,1,2,0.9,0.3,0.6
Ohio,44,2017,1375,16,3,1.38,1.16,0.22
Oklahoma,44,2017,243,2,0,0.82,0.82,0
Oregon,44,2017,315,13,5,5.71,4.13,1.59
Pennsylvania,44,2017,417,5,0,1.2,1.2,0
South Carolina,44,2017,300,4,2,2,1.33,0.67
South Dakota,44,2017,47,0,0,0,0,0
Tennessee,44,2017,172,1,0,0.58,0.58,0
Texas,44,2017,1898,62,49,5.85,3.27,2.58
Utah,44,2017,618,22,0,3.56,3.56,0
Vermont,44,2017,57,1,0,1.75,1.75,0
Virginia,44,2017,255,0,0,0,0,0
Washington,44,2017,693,9,6,2.16,1.3,0.87
West Virginia,44,2017,426,1,0,0.23,0.23,0
Wisconsin,44,2017,760,8,3,1.45,1.05,0.39
Puerto Rico,44,2017,0,0,0,0,0,0
Alabama,45,2017,573,9,23,5.58,1.57,4.01
Alaska,45,2017,23,8,0,34.78,34.78,0
Arizona,45,2017,221,3,3,2.71,1.36,1.36
Arkansas,45,2017,81,8,0,9.88,9.88,0
California,45,2017,1086,70,8,7.18,6.45,0.74
Colorado,45,2017,525,33,0,6.29,6.29,0
Connecticut,45,2017,400,4,0,1,1,0
Delaware,45,2017,131,4,0,3.05,3.05,0
Georgia,45,2017,930,24,5,3.12,2.58,0.54
Hawaii,45,2017,204,12,5,8.33,5.88,2.45
Idaho,45,2017,59,2,1,5.08,3.39,1.69
Illinois,45,2017,276,8,2,3.62,2.9,0.72
Indiana,45,2017,222,1,0,0.45,0.45,0
Iowa,45,2017,143,2,1,2.1,1.4,0.7
Kansas,45,2017,74,0,0,0,0,0
Kentucky,45,2017,408,4,1,1.23,0.98,0.25
Louisiana,45,2017,695,46,6,7.48,6.62,0.86
Maine,45,2017,38,2,0,5.26,5.26,0
Maryland,45,2017,122,0,0,0,0,0
Massachusetts,45,2017,539,13,1,2.6,2.41,0.19
Michigan,45,2017,876,8,1,1.03,0.91,0.11
Minnesota,45,2017,325,2,2,1.23,0.62,0.62
Mississippi,45,2017,138,23,0,16.67,16.67,0
Missouri,45,2017,608,8,7,2.47,1.32,1.15
Montana,45,2017,98,3,0,3.06,3.06,0
Nebraska,45,2017,131,4,0,3.05,3.05,0
Nevada,45,2017,25,11,0,44,44,0
New Mexico,45,2017,411,17,2,4.62,4.14,0.49
New York,45,2017,1926,18,6,1.25,0.93,0.31
North Carolina,45,2017,353,2,3,1.42,0.57,0.85
Ohio,45,2017,1437,25,5,2.09,1.74,0.35
Oklahoma,45,2017,218,5,0,2.29,2.29,0
Oregon,45,2017,327,23,3,7.95,7.03,0.92
Pennsylvania,45,2017,459,0,1,0.22,0,0.22
South Carolina,45,2017,337,4,3,2.08,1.19,0.89
South Dakota,45,2017,69,0,0,0,0,0
Tennessee,45,2017,184,5,2,3.8,2.72,1.09
Texas,45,2017,2042,108,68,8.62,5.29,3.33
Utah,45,2017,620,10,0,1.61,1.61,0
Vermont,45,2017,94,1,0,1.06,1.06,0
Virginia,45,2017,239,0,0,0,0,0
Washington,45,2017,787,6,3,1.14,0.76,0.38
West Virginia,45,2017,391,3,2,1.28,0.77,0.51
Wisconsin,45,2017,817,10,0,1.22,1.22,0
Puerto Rico,45,2017,0,0,0,0,0,0
Alabama,46,2017,671,11,31,6.26,1.64,4.62
Arizona,46,2017,248,4,2,2.42,1.61,0.81
Arkansas,46,2017,100,14,0,14,14,0
California,46,2017,1159,86,13,8.54,7.42,1.12
Colorado,46,2017,574,54,3,9.93,9.41,0.52
Connecticut,46,2017,489,6,0,1.23,1.23,0
Delaware,46,2017,157,3,0,1.91,1.91,0
Georgia,46,2017,1015,39,8,4.63,3.84,0.79
Hawaii,46,2017,204,11,3,6.86,5.39,1.47
Idaho,46,2017,55,4,2,10.91,7.27,3.64
Illinois,46,2017,277,8,1,3.25,2.89,0.36
Indiana,46,2017,214,6,3,4.21,2.8,1.4
Iowa,46,2017,168,8,0,4.76,4.76,0
Kansas,46,2017,92,0,0,0,0,0
Kentucky,46,2017,413,3,0,0.73,0.73,0
Louisiana,46,2017,864,74,16,10.42,8.56,1.85
Maine,46,2017,70,6,0,8.57,8.57,0
Maryland,46,2017,143,5,1,4.2,3.5,0.7
Massachusetts,46,2017,602,6,3,1.5,1,0.5
Michigan,46,2017,964,23,2,2.59,2.39,0.21
Minnesota,46,2017,354,6,0,1.69,1.69,0
Mississippi,46,2017,121,12,0,9.92,9.92,0
Missouri,46,2017,697,6,18,3.44,0.86,2.58
Montana,46,2017,98,1,0,1.02,1.02,0
Nebraska,46,2017,133,8,1,6.77,6.02,0.75
Nevada,46,2017,45,15,0,33.33,33.33,0
New Mexico,46,2017,379,12,0,3.17,3.17,0
New York,46,2017,1968,13,13,1.32,0.66,0.66
North Carolina,46,2017,354,3,0,0.85,0.85,0
Ohio,46,2017,1655,33,11,2.66,1.99,0.66
Oklahoma,46,2017,283,9,2,3.89,3.18,0.71
Oregon,46,2017,315,31,8,12.38,9.84,2.54
Pennsylvania,46,2017,490,7,0,1.43,1.43,0
South Carolina,46,2017,450,11,1,2.67,2.44,0.22
South Dakota,46,2017,61,0,0,0,0,0
Tennessee,46,2017,238,9,0,3.78,3.78,0
Texas,46,2017,2419,146,77,9.22,6.04,3.18
Utah,46,2017,620,30,0,4.84,4.84,0
Vermont,46,2017,80,0,1,1.25,0,1.25
Virginia,46,2017,303,2,0,0.66,0.66,0
Washington,46,2017,762,14,7,2.76,1.84,0.92
West Virginia,46,2017,446,13,2,3.36,2.91,0.45
Wisconsin,46,2017,873,26,1,3.09,2.98,0.11
Puerto Rico,46,2017,0,0,0,0,0,0
Alabama,47,2017,517,11,22,6.38,2.13,4.26
Alaska,47,2017,18,7,0,38.89,38.89,0
Arizona,47,2017,219,10,1,5.02,4.57,0.46
Arkansas,47,2017,139,22,0,15.83,15.83,0
California,47,2017,1272,172,11,14.39,13.52,0.86
Colorado,47,2017,658,82,4,13.07,12.46,0.61
Connecticut,47,2017,436,5,2,1.61,1.15,0.46
Delaware,47,2017,180,8,0,4.44,4.44,0
Georgia,47,2017,1124,42,11,4.72,3.74,0.98
Hawaii,47,2017,228,11,4,6.58,4.82,1.75
Idaho,47,2017,79,4,4,10.13,5.06,5.06
Illinois,47,2017,236,16,0,6.78,6.78,0
Indiana,47,2017,221,6,0,2.71,2.71,0
Iowa,47,2017,153,8,0,5.23,5.23,0
Kansas,47,2017,85,2,0,2.35,2.35,0
Kentucky,47,2017,343,6,1,2.04,1.75,0.29
Louisiana,47,2017,896,84,24,12.05,9.38,2.68
Maine,47,2017,71,7,0,9.86,9.86,0
Maryland,47,2017,249,23,1,9.64,9.24,0.4
Massachusetts,47,2017,645,9,2,1.71,1.4,0.31
Michigan,47,2017,954,26,8,3.56,2.73,0.84
Minnesota,47,2017,336,14,4,5.36,4.17,1.19
Mississippi,47,2017,128,14,0,10.94,10.94,0
Missouri,47,2017,602,19,8,4.49,3.16,1.33
Montana,47,2017,100,1,0,1,1,0
Nebraska,47,2017,114,3,1,3.51,2.63,0.88
Nevada,47,2017,43,14,0,32.56,32.56,0
New Mexico,47,2017,412,30,1,7.52,7.28,0.24
New York,47,2017,1851,30,23,2.86,1.62,1.24
North Carolina,47,2017,404,11,4,3.71,2.72,0.99
Ohio,47,2017,1532,50,10,3.92,3.26,0.65
Oklahoma,47,2017,260,4,1,1.92,1.54,0.38
Oregon,47,2017,408,48,5,12.99,11.76,1.23
Pennsylvania,47,2017,419,6,0,1.43,1.43,0
South Carolina,47,2017,418,11,2,3.11,2.63,0.48
South Dakota,47,2017,56,0,0,0,0,0
Tennessee,47,2017,213,11,9,9.39,5.16,4.23
Texas,47,2017,2342,160,58,9.31,6.83,2.48
Utah,47,2017,679,42,3,6.63,6.19,0.44
Vermont,47,2017,102,1,0,0.98,0.98,0
Virginia,47,2017,180,6,0,3.33,3.33,0
Washington,47,2017,838,26,8,4.06,3.1,0.95
West Virginia,47,2017,533,14,5,3.56,2.63,0.94
Wisconsin,47,2017,797,32,2,4.27,4.02,0.25
Puerto Rico,47,2017,0,0,0,0,0,0
Alabama,48,2017,779,20,21,5.26,2.57,2.7
Alaska,48,2017,20,4,0,20,20,0
Arizona,48,2017,266,17,1,6.77,6.39,0.38
Arkansas,48,2017,136,17,4,15.44,12.5,2.94
California,48,2017,1439,192,21,14.8,13.34,1.46
Colorado,48,2017,674,75,3,11.57,11.13,0.45
Connecticut,48,2017,479,4,1,1.04,0.84,0.21
Delaware,48,2017,223,17,0,7.62,7.62,0
Georgia,48,2017,1053,58,4,5.89,5.51,0.38
Hawaii,48,2017,270,24,5,10.74,8.89,1.85
Idaho,48,2017,91,8,7,16.48,8.79,7.69
Illinois,48,2017,353,29,4,9.35,8.22,1.13
Indiana,48,2017,262,10,5,5.73,3.82,1.91
Iowa,48,2017,208,20,0,9.62,9.62,0
Kansas,48,2017,93,1,0,1.08,1.08,0
Kentucky,48,2017,451,5,4,2,1.11,0.89
Louisiana,48,2017,645,87,15,15.81,13.49,2.33
Maine,48,2017,77,7,0,9.09,9.09,0
Maryland,48,2017,199,4,3,3.52,2.01,1.51
Massachusetts,48,2017,704,10,8,2.56,1.42,1.14
Michigan,48,2017,1206,44,2,3.81,3.65,0.17
Minnesota,48,2017,416,31,3,8.17,7.45,0.72
Mississippi,48,2017,172,10,1,6.4,5.81,0.58
Missouri,48,2017,717,22,8,4.18,3.07,1.12
Montana,48,2017,121,6,2,6.61,4.96,1.65
Nebraska,48,2017,147,10,0,6.8,6.8,0
Nevada,48,2017,52,6,1,13.46,11.54,1.92
New Mexico,48,2017,565,59,4,11.15,10.44,0.71
New York,48,2017,2282,39,36,3.29,1.71,1.58
North Carolina,48,2017,388,10,10,5.15,2.58,2.58
Ohio,48,2017,1859,81,12,5,4.36,0.65
Oklahoma,48,2017,311,9,1,3.22,2.89,0.32
Oregon,48,2017,473,55,12,14.16,11.63,2.54
Pennsylvania,48,2017,476,8,2,2.1,1.68,0.42
South Carolina,48,2017,492,10,4,2.85,2.03,0.81
South Dakota,48,2017,69,3,0,4.35,4.35,0
Tennessee,48,2017,263,8,3,4.18,3.04,1.14
Texas,48,2017,2714,214,76,10.69,7.89,2.8
Utah,48,2017,726,55,4,8.13,7.58,0.55
Vermont,48,2017,126,5,1,4.76,3.97,0.79
Virginia,48,2017,255,5,1,2.35,1.96,0.39
Washington,48,2017,931,31,11,4.51,3.33,1.18
West Virginia,48,2017,533,13,5,3.38,2.44,0.94
Wisconsin,48,2017,1067,72,12,7.87,6.75,1.12
Puerto Rico,48,2017,0,0,0,0,0,0
Alabama,49,2017,728,21,16,5.08,2.88,2.2
Alaska,49,2017,20,7,0,35,35,0
Arizona,49,2017,342,35,3,11.11,10.23,0.88
Arkansas,49,2017,198,47,4,25.76,23.74,2.02
California,49,2017,1807,336,42,20.92,18.59,2.32
Colorado,49,2017,680,75,4,11.62,11.03,0.59
Connecticut,49,2017,494,6,1,1.42,1.21,0.2
Delaware,49,2017,217,15,2,7.83,6.91,0.92
Georgia,49,2017,1095,75,10,7.76,6.85,0.91
Hawaii,49,2017,218,27,2,13.3,12.39,0.92
Idaho,49,2017,103,11,5,15.53,10.68,4.85
Illinois,49,2017,414,51,2,12.8,12.32,0.48
Indiana,49,2017,251,14,4,7.17,5.58,1.59
Iowa,49,2017,231,27,1,12.12,11.69,0.43
Kansas,49,2017,84,3,0,3.57,3.57,0
Kentucky,49,2017,482,16,3,3.94,3.32,0.62
Louisiana,49,2017,934,119,18,14.67,12.74,1.93
Maine,49,2017,82,8,1,10.98,9.76,1.22
Maryland,49,2017,197,8,3,5.58,4.06,1.52
Massachusetts,49,2017,727,13,7,2.75,1.79,0.96
Michigan,49,2017,1174,68,11,6.73,5.79,0.94
Minnesota,49,2017,505,45,1,9.11,8.91,0.2
Mississippi,49,2017,111,8,0,7.21,7.21,0
Missouri,49,2017,731,49,32,11.08,6.7,4.38
Montana,49,2017,120,9,0,7.5,7.5,0
Nebraska,49,2017,173,19,1,11.56,10.98,0.58
Nevada,49,2017,38,9,0,23.68,23.68,0
New Mexico,49,2017,2073,167,293,22.19,8.06,14.13
New York,49,2017,2467,55,53,4.38,2.23,2.15
North Carolina,49,2017,461,16,8,5.21,3.47,1.74
Ohio,49,2017,2186,126,18,6.59,5.76,0.82
Oklahoma,49,2017,350,18,1,5.43,5.14,0.29
Oregon,49,2017,587,81,21,17.38,13.8,3.58
Pennsylvania,49,2017,513,6,4,1.95,1.17,0.78
South Carolina,49,2017,471,18,4,4.67,3.82,0.85
South Dakota,49,2017,85,1,0,1.18,1.18,0
Tennessee,49,2017,266,11,2,4.89,4.14,0.75
Texas,49,2017,2800,399,96,17.68,14.25,3.43
Utah,49,2017,735,66,2,9.25,8.98,0.27
Vermont,49,2017,125,3,3,4.8,2.4,2.4
Virginia,49,2017,266,14,0,5.26,5.26,0
Washington,49,2017,985,71,17,8.93,7.21,1.73
West Virginia,49,2017,625,27,3,4.8,4.32,0.48
Wisconsin,49,2017,1182,80,9,7.53,6.77,0.76
Puerto Rico,49,2017,0,0,0,0,0,0
Alabama,50,2017,947,95,28,12.99,10.03,2.96
Arizona,50,2017,372,50,1,13.71,13.44,0.27
Arkansas,50,2017,294,82,7,30.27,27.89,2.38
California,50,2017,2336,601,73,28.85,25.73,3.13
Colorado,50,2017,871,115,7,14.01,13.2,0.8
Connecticut,50,2017,596,26,3,4.87,4.36,0.5
Delaware,50,2017,279,18,9,9.68,6.45,3.23
Georgia,50,2017,1364,131,23,11.29,9.6,1.69
Hawaii,50,2017,242,25,2,11.16,10.33,0.83
Idaho,50,2017,124,23,8,25,18.55,6.45
Illinois,50,2017,521,87,13,19.19,16.7,2.5
Indiana,50,2017,378,34,13,12.43,8.99,3.44
Iowa,50,2017,263,30,1,11.79,11.41,0.38
Kansas,50,2017,99,7,1,8.08,7.07,1.01
Kentucky,50,2017,581,45,7,8.95,7.75,1.2
Louisiana,50,2017,1263,281,28,24.47,22.25,2.22
Maine,50,2017,101,16,0,15.84,15.84,0
Maryland,50,2017,252,25,3,11.11,9.92,1.19
Massachusetts,50,2017,794,36,11,5.92,4.53,1.39
Michigan,50,2017,1443,114,19,9.22,7.9,1.32
Minnesota,50,2017,565,78,10,15.58,13.81,1.77
Mississippi,50,2017,157,20,2,14.01,12.74,1.27
Missouri,50,2017,866,68,9,8.89,7.85,1.04
Montana,50,2017,97,7,1,8.25,7.22,1.03
Nebraska,50,2017,225,23,1,10.67,10.22,0.44
Nevada,50,2017,63,18,1,30.16,28.57,1.59
New Mexico,50,2017,595,103,19,20.5,17.31,3.19
New York,50,2017,2562,102,75,6.91,3.98,2.93
North Carolina,50,2017,537,16,3,3.54,2.98,0.56
Ohio,50,2017,2700,368,34,14.89,13.63,1.26
Oklahoma,50,2017,419,71,1,17.18,16.95,0.24
Oregon,50,2017,820,203,60,32.07,24.76,7.32
Pennsylvania,50,2017,571,15,4,3.33,2.63,0.7
South Carolina,50,2017,465,24,4,6.02,5.16,0.86
South Dakota,50,2017,64,3,0,4.69,4.69,0
Tennessee,50,2017,330,23,5,8.48,6.97,1.52
Texas,50,2017,4050,882,185,26.35,21.78,4.57
Utah,50,2017,765,93,8,13.2,12.16,1.05
Vermont,50,2017,164,16,2,10.98,9.76,1.22
Virginia,50,2017,277,15,2,6.14,5.42,0.72
Washington,50,2017,1130,109,27,12.04,9.65,2.39
West Virginia,50,2017,722,82,6,12.19,11.36,0.83
Wisconsin,50,2017,1339,140,8,11.05,10.46,0.6
Puerto Rico,50,2017,0,0,0,0,0,0
Alabama,51,2017,1435,292,39,23.07,20.35,2.72
Arizona,51,2017,400,102,4,26.5,25.5,1
Arkansas,51,2017,415,136,17,36.87,32.77,4.1
California,51,2017,3143,917,156,34.14,29.18,4.96
Colorado,51,2017,1268,245,28,21.53,19.32,2.21
Connecticut,51,2017,687,49,11,8.73,7.13,1.6
Delaware,51,2017,324,29,19,14.81,8.95,5.86
Georgia,51,2017,1949,301,44,17.7,15.44,2.26
Hawaii,51,2017,242,25,4,11.98,10.33,1.65
Idaho,51,2017,162,28,17,27.78,17.28,10.49
Illinois,51,2017,731,199,9,28.45,27.22,1.23
Indiana,51,2017,509,85,29,22.4,16.7,5.7
Iowa,51,2017,371,72,4,20.49,19.41,1.08
Kansas,51,2017,123,18,3,17.07,14.63,2.44
Kentucky,51,2017,700,80,12,13.14,11.43,1.71
Louisiana,51,2017,1856,506,49,29.9,27.26,2.64
Maine,51,2017,95,23,0,24.21,24.21,0
Maryland,51,2017,314,35,8,13.69,11.15,2.55
Massachusetts,51,2017,918,55,29,9.15,5.99,3.16
Michigan,51,2017,1762,253,14,15.15,14.36,0.79
Minnesota,51,2017,693,146,10,22.51,21.07,1.44
Mississippi,51,2017,163,19,2,12.88,11.66,1.23
Missouri,51,2017,1103,214,29,22.03,19.4,2.63
Montana,51,2017,123,12,1,10.57,9.76,0.81
Nebraska,51,2017,277,53,5,20.94,19.13,1.81
Nevada,51,2017,81,26,2,34.57,32.1,2.47
New Mexico,51,2017,907,205,27,25.58,22.6,2.98
New York,51,2017,2887,210,115,11.26,7.27,3.98
North Carolina,51,2017,818,60,29,10.88,7.33,3.55
Ohio,51,2017,3801,760,69,21.81,19.99,1.82
Oklahoma,51,2017,512,92,2,18.36,17.97,0.39
Oregon,51,2017,1499,416,138,36.96,27.75,9.21
Pennsylvania,51,2017,573,21,6,4.71,3.66,1.05
South Carolina,51,2017,602,64,10,12.29,10.63,1.66
South Dakota,51,2017,78,6,2,10.26,7.69,2.56
Tennessee,51,2017,596,136,8,24.16,22.82,1.34
Texas,51,2017,6605,2005,353,35.7,30.36,5.34
Utah,51,2017,1045,194,17,20.19,18.56,1.63
Vermont,51,2017,167,15,1,9.58,8.98,0.6
Virginia,51,2017,347,37,8,12.97,10.66,2.31
Washington,51,2017,1442,223,75,20.67,15.46,5.2
West Virginia,51,2017,1026,189,11,19.49,18.42,1.07
Wisconsin,51,2017,1792,300,11,17.35,16.74,0.61
Puerto Rico,51,2017,0,0,0,0,0,0
Alabama,52,2017,1524,312,43,23.29,20.47,2.82
Arizona,52,2017,608,172,12,30.26,28.29,1.97
Arkansas,52,2017,307,88,15,33.55,28.66,4.89
California,52,2017,3339,1090,205,38.78,32.64,6.14
Colorado,52,2017,1528,292,35,21.4,19.11,2.29
Connecticut,52,2017,818,77,11,10.76,9.41,1.34
Delaware,52,2017,424,54,19,17.22,12.74,4.48
Georgia,52,2017,2482,448,66,20.71,18.05,2.66
Hawaii,52,2017,314,39,6,14.33,12.42,1.91
Idaho,52,2017,232,46,33,34.05,19.83,14.22
Illinois,52,2017,1036,361,19,36.68,34.85,1.83
Indiana,52,2017,550,130,30,29.09,23.64,5.45
Iowa,52,2017,456,129,5,29.39,28.29,1.1
Kansas,52,2017,140,19,3,15.71,13.57,2.14
Kentucky,52,2017,706,95,14,15.44,13.46,1.98
Louisiana,52,2017,1969,508,62,28.95,25.8,3.15
Maine,52,2017,111,18,0,16.22,16.22,0
Maryland,52,2017,336,74,5,23.51,22.02,1.49
Massachusetts,52,2017,959,122,36,16.48,12.72,3.75
Michigan,52,2017,2140,405,35,20.56,18.93,1.64
Minnesota,52,2017,887,220,10,25.93,24.8,1.13
Mississippi,52,2017,154,13,2,9.74,8.44,1.3
Missouri,52,2017,1258,237,36,21.7,18.84,2.86
Montana,52,2017,173,30,1,17.92,17.34,0.58
Nebraska,52,2017,306,71,10,26.47,23.2,3.27
Nevada,52,2017,77,30,2,41.56,38.96,2.6
New Mexico,52,2017,1099,269,51,29.12,24.48,4.64
New York,52,2017,3378,343,191,15.81,10.15,5.65
North Carolina,52,2017,804,90,21,13.81,11.19,2.61
Ohio,52,2017,4847,1235,88,27.3,25.48,1.82
Oklahoma,52,2017,598,106,7,18.9,17.73,1.17
Oregon,52,2017,1709,432,186,36.16,25.28,10.88
Pennsylvania,52,2017,712,55,22,10.81,7.72,3.09
South Carolina,52,2017,677,83,19,15.07,12.26,2.81
South Dakota,52,2017,65,5,1,9.23,7.69,1.54
Tennessee,52,2017,716,138,14,21.23,19.27,1.96
Texas,52,2017,6409,1895,314,34.47,29.57,4.9
Utah,52,2017,1420,384,38,29.72,27.04,2.68
Vermont,52,2017,242,46,7,21.9,19.01,2.89
Virginia,52,2017,484,68,16,17.36,14.05,3.31
Washington,52,2017,1853,336,80,22.45,18.13,4.32
West Virginia,52,2017,1456,407,16,29.05,27.95,1.1
Wisconsin,52,2017,2316,547,23,24.61,23.62,0.99
Puerto Rico,52,2017,0,0,0,0,0,0
Alabama,1,2018,1636,388,50,26.77,23.72,3.06
Alaska,1,2018,20,0,1,5,0,5
Arizona,1,2018,787,189,23,26.94,24.02,2.92
Arkansas,1,2018,337,83,20,30.56,24.63,5.93
California,1,2018,3272,823,191,30.99,25.15,5.84
Colorado,1,2018,1503,234,52,19.03,15.57,3.46
Connecticut,1,2018,1266,137,30,13.19,10.82,2.37
Delaware,1,2018,452,82,21,22.79,18.14,4.65
Georgia,1,2018,2934,730,118,28.9,24.88,4.02
Hawaii,1,2018,298,39,11,16.78,13.09,3.69
Idaho,1,2018,252,42,35,30.56,16.67,13.89
Illinois,1,2018,1194,371,34,33.92,31.07,2.85
Indiana,1,2018,818,200,36,28.85,24.45,4.4
Iowa,1,2018,549,150,10,29.14,27.32,1.82
Kansas,1,2018,164,36,2,23.17,21.95,1.22
Kentucky,1,2018,937,129,47,18.78,13.77,5.02
Louisiana,1,2018,1736,357,72,24.71,20.56,4.15
Maine,1,2018,142,20,0,14.08,14.08,0
Maryland,1,2018,382,67,21,23.04,17.54,5.5
Massachusetts,1,2018,1198,173,42,17.95,14.44,3.51
Michigan,1,2018,2675,606,40,24.15,22.65,1.5
Minnesota,1,2018,1071,270,10,26.14,25.21,0.93
Mississippi,1,2018,162,17,2,11.73,10.49,1.23
Missouri,1,2018,1442,287,78,25.31,19.9,5.41
Montana,1,2018,201,29,4,16.42,14.43,1.99
Nebraska,1,2018,318,72,10,25.79,22.64,3.14
Nevada,1,2018,58,15,2,29.31,25.86,3.45
New Mexico,1,2018,1348,309,99,30.27,22.92,7.34
New York,1,2018,3855,498,225,18.75,12.92,5.84
North Carolina,1,2018,1053,156,23,17,14.81,2.18
