REGION,WEEK,YEAR,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
North Carolina,10,2017,697,95,60,22.24,13.63,8.61
North Dakota,10,2017,139,8,13,15.11,5.76,9.35
Ohio,10,2017,3300,402,389,23.97,12.18,11.79
Oklahoma,10,2017,362,21,36,15.75,5.8,9.94
Oregon,10,2017,579,40,31,12.26,6.91,5.35
Pennsylvania,10,2017,846,95,54,17.61,11.23,6.38
South Carolina,10,2017,532,61,35,18.05,11.47,6.58
South Dakota,10,2017,276,25,28,19.2,9.06,10.14
Tennessee,10,2017,459,46,32,16.99,10.02,6.97
Texas,10,2017,3099,454,226,21.94,14.65,7.29
Utah,10,2017,835,56,10,7.9,6.71,1.2
Vermont,10,2017,165,27,8,21.21,16.36,4.85
Virginia,10,2017,428,99,43,33.18,23.13,10.05
Washington,10,2017,699,21,24,6.44,3,3.43
West Virginia,10,2017,701,79,54,18.97,11.27,7.7
Wisconsin,10,2017,2024,321,269,29.15,15.86,13.29
Puerto Rico,10,2017,0,0,0,0,0,0
Alabama,11,2017,964,84,60,14.94,8.71,6.22
Arizona,11,2017,292,18,6,8.22,6.16,2.05
Arkansas,11,2017,147,22,6,19.05,14.97,4.08
California,11,2017,1408,87,18,7.46,6.18,1.28
Colorado,11,2017,846,49,92,16.67,5.79,10.87
Connecticut,11,2017,558,37,39,13.62,6.63,6.99
Delaware,11,2017,268,35,28,23.51,13.06,10.45
Georgia,11,2017,1594,161,197,22.46,10.1,12.36
Hawaii,11,2017,222,6,8,6.31,2.7,3.6
Idaho,11,2017,77,12,1,16.88,15.58,1.3
Illinois,11,2017,812,59,97,19.21,7.27,11.95
Indiana,11,2017,424,68,65,31.37,16.04,15.33
Iowa,11,2017,293,26,21,16.04,8.87,7.17
Kansas,11,2017,160,19,21,25,11.88,13.13
Kentucky,11,2017,407,45,22,16.46,11.06,5.41
Louisiana,11,2017,1938,470,141,31.53,24.25,7.28
Maine,11,2017,231,49,28,33.33,21.21,12.12
Maryland,11,2017,344,46,50,27.91,13.37,14.53
Massachusetts,11,2017,944,104,43,15.57,11.02,4.56
Michigan,11,2017,2060,215,233,21.75,10.44,11.31
Minnesota,11,2017,841,64,122,22.12,7.61,14.51
Mississippi,11,2017,175,15,5,11.43,8.57,2.86
Missouri,11,2017,1014,49,81,12.82,4.83,7.99
Montana,11,2017,171,4,13,9.94,2.34,7.6
Nebraska,11,2017,192,17,31,25,8.85,16.15
Nevada,11,2017,32,6,1,21.88,18.75,3.13
New Hampshire,11,2017,37,10,3,35.14,27.03,8.11
New Mexico,11,2017,766,127,29,20.37,16.58,3.79
New York,11,2017,2408,164,132,12.29,6.81,5.48
North Carolina,11,2017,670,69,87,23.28,10.3,12.99
North Dakota,11,2017,120,3,20,19.17,2.5,16.67
Ohio,11,2017,3219,364,422,24.42,11.31,13.11
Oklahoma,11,2017,369,21,40,16.53,5.69,10.84
Oregon,11,2017,528,19,32,9.66,3.6,6.06
Pennsylvania,11,2017,695,59,66,17.99,8.49,9.5
South Carolina,11,2017,562,61,35,17.08,10.85,6.23
South Dakota,11,2017,268,10,31,15.3,3.73,11.57
Tennessee,11,2017,396,29,26,13.89,7.32,6.57
Texas,11,2017,2635,304,184,18.52,11.54,6.98
Utah,11,2017,771,41,10,6.61,5.32,1.3
Vermont,11,2017,140,21,7,20,15,5
Virginia,11,2017,429,92,40,30.77,21.45,9.32
Washington,11,2017,711,19,25,6.19,2.67,3.52
West Virginia,11,2017,836,83,65,17.7,9.93,7.78
Wisconsin,11,2017,1904,253,286,28.31,13.29,15.02
Puerto Rico,11,2017,0,0,0,0,0,0
Alabama,12,2017,1056,74,105,16.95,7.01,9.94
Arizona,12,2017,277,9,8,6.14,3.25,2.89
Arkansas,12,2017,155,22,14,23.23,14.19,9.03
California,12,2017,1224,62,18,6.54,5.07,1.47
Colorado,12,2017,716,36,85,16.9,5.03,11.87
Connecticut,12,2017,523,32,33,12.43,6.12,6.31
Delaware,12,2017,298,41,29,23.49,13.76,9.73
Georgia,12,2017,1537,167,210,24.53,10.87,13.66
Hawaii,12,2017,188,9,4,6.91,4.79,2.13
Idaho,12,2017,37,6,1,18.92,16.22,2.7
Illinois,12,2017,836,70,135,24.52,8.37,16.15
Indiana,12,2017,415,72,49,29.16,17.35,11.81
Iowa,12,2017,227,21,25,20.26,9.25,11.01
Kansas,12,2017,118,6,14,16.95,5.08,11.86
Kentucky,12,2017,478,57,43,20.92,11.92,9
Louisiana,12,2017,1001,65,58,12.29,6.49,5.79
Maine,12,2017,233,38,41,33.91,16.31,17.6
Maryland,12,2017,336,48,51,29.46,14.29,15.18
Massachusetts,12,2017,966,100,97,20.39,10.35,10.04
Michigan,12,2017,2074,199,313,24.69,9.59,15.09
Minnesota,12,2017,788,58,168,28.68,7.36,21.32
Mississippi,12,2017,128,5,2,5.47,3.91,1.56
Missouri,12,2017,945,37,92,13.65,3.92,9.74
Montana,12,2017,121,2,8,8.26,1.65,6.61
Nebraska,12,2017,177,11,25,20.34,6.21,14.12
Nevada,12,2017,23,4,0,17.39,17.39,0
New Hampshire,12,2017,35,3,0,8.57,8.57,0
New Mexico,12,2017,608,75,30,17.27,12.34,4.93
New York,12,2017,2388,106,172,11.64,4.44,7.2
North Carolina,12,2017,779,76,113,24.26,9.76,14.51
North Dakota,12,2017,100,9,16,25,9,16
Ohio,12,2017,3532,407,529,26.5,11.52,14.98
Oklahoma,12,2017,312,8,30,12.18,2.56,9.62
Oregon,12,2017,447,11,32,9.62,2.46,7.16
Pennsylvania,12,2017,699,43,80,17.6,6.15,11.44
South Carolina,12,2017,619,75,54,20.84,12.12,8.72
