REGION,WEEK,YEAR,TOTAL,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B,SEASON
Indiana,16,2017,172.0,3.0,12.0,8.72,1.74,6.98,SPRING
Iowa,16,2017,140.0,2.0,12.0,10.0,1.43,8.57,SPRING
Kansas,16,2017,80.0,0.0,1.0,1.25,0.0,1.25,SPRING
Kentucky,16,2017,321.0,9.0,8.0,5.3,2.8,2.49,SPRING
Louisiana,16,2017,698.0,39.0,26.0,9.31,5.59,3.72,SPRING
Maine,16,2017,203.0,9.0,48.0,28.08,4.43,23.65,SPRING
Maryland,16,2017,153.0,4.0,22.0,16.99,2.61,14.38,SPRING
Massachusetts,16,2017,926.0,34.0,130.0,17.71,3.67,14.04,SPRING
Michigan,16,2017,1080.0,21.0,69.0,8.33,1.94,6.39,SPRING
Minnesota,16,2017,541.0,11.0,49.0,11.09,2.03,9.06,SPRING
Mississippi,16,2017,76.0,3.0,2.0,6.58,3.95,2.63,SPRING
Missouri,16,2017,636.0,2.0,26.0,4.4,0.31,4.09,SPRING
Montana,16,2017,104.0,1.0,9.0,9.62,0.96,8.65,SPRING
Nebraska,16,2017,119.0,1.0,10.0,9.24,0.84,8.4,SPRING
Nevada,16,2017,12.0,0.0,1.0,8.33,0.0,8.33,SPRING
New Hampshire,16,2017,42.0,0.0,2.0,4.76,0.0,4.76,SPRING
New Mexico,16,2017,413.0,21.0,25.0,11.14,5.08,6.05,SPRING
New York,16,2017,2196.0,18.0,168.0,8.47,0.82,7.65,SPRING
North Carolina,16,2017,299.0,8.0,13.0,7.02,2.68,4.35,SPRING
North Dakota,16,2017,75.0,0.0,5.0,6.67,0.0,6.67,SPRING
Ohio,16,2017,1884.0,55.0,141.0,10.4,2.92,7.48,SPRING
Oklahoma,16,2017,205.0,0.0,0.0,0.0,0.0,0.0,SPRING
Oregon,16,2017,264.0,2.0,19.0,7.95,0.76,7.2,SPRING
Pennsylvania,16,2017,458.0,8.0,35.0,9.39,1.75,7.64,SPRING
South Carolina,16,2017,290.0,7.0,10.0,5.86,2.41,3.45,SPRING
South Dakota,16,2017,180.0,3.0,4.0,3.89,1.67,2.22,SPRING
Tennessee,16,2017,221.0,3.0,12.0,6.79,1.36,5.43,SPRING
Texas,16,2017,1539.0,39.0,66.0,6.82,2.53,4.29,SPRING
Utah,16,2017,526.0,9.0,14.0,4.37,1.71,2.66,SPRING
Vermont,16,2017,161.0,9.0,20.0,18.01,5.59,12.42,SPRING
Virginia,16,2017,210.0,4.0,13.0,8.1,1.9,6.19,SPRING
Washington,16,2017,410.0,3.0,14.0,4.15,0.73,3.41,SPRING
West Virginia,16,2017,411.0,11.0,16.0,6.57,2.68,3.89,SPRING
Wisconsin,16,2017,1006.0,26.0,125.0,15.01,2.58,12.43,SPRING
Puerto Rico,16,2017,0.0,0.0,0.0,0.0,0.0,0.0,SPRING
Alabama,17,2017,400.0,10.0,23.0,8.25,2.5,5.75,SPRING
Arizona,17,2017,258.0,12.0,17.0,11.24,4.65,6.59,SPRING
Arkansas,17,2017,67.0,1.0,1.0,2.99,1.49,1.49,SPRING
California,17,2017,811.0,10.0,23.0,4.07,1.23,2.84,SPRING
Colorado,17,2017,616.0,3.0,36.0,6.33,0.49,5.84,SPRING
Connecticut,17,2017,418.0,4.0,36.0,9.57,0.96,8.61,SPRING
Delaware,17,2017,134.0,3.0,10.0,9.7,2.24,7.46,SPRING
Georgia,17,2017,595.0,17.0,13.0,5.04,2.86,2.18,SPRING
Hawaii,17,2017,126.0,2.0,1.0,2.38,1.59,0.79,SPRING
Idaho,17,2017,15.0,1.0,0.0,6.67,6.67,0.0,SPRING
Illinois,17,2017,337.0,1.0,17.0,5.34,0.3,5.04,SPRING
Indiana,17,2017,164.0,0.0,4.0,2.44,0.0,2.44,SPRING
Iowa,17,2017,78.0,0.0,9.0,11.54,0.0,11.54,SPRING
Kansas,17,2017,69.0,0.0,2.0,2.9,0.0,2.9,SPRING
Kentucky,17,2017,274.0,1.0,6.0,2.55,0.36,2.19,SPRING
Louisiana,17,2017,603.0,13.0,20.0,5.47,2.16,3.32,SPRING
Maine,17,2017,163.0,2.0,38.0,24.54,1.23,23.31,SPRING
Maryland,17,2017,157.0,2.0,10.0,7.64,1.27,6.37,SPRING
Massachusetts,17,2017,719.0,19.0,80.0,13.77,2.64,11.13,SPRING
Michigan,17,2017,837.0,7.0,36.0,5.14,0.84,4.3,SPRING
Minnesota,17,2017,481.0,5.0,24.0,6.03,1.04,4.99,SPRING
Mississippi,17,2017,63.0,4.0,0.0,6.35,6.35,0.0,SPRING
Missouri,17,2017,568.0,2.0,9.0,1.94,0.35,1.58,SPRING
Montana,17,2017,107.0,0.0,8.0,7.48,0.0,7.48,SPRING
Nebraska,17,2017,115.0,1.0,7.0,6.96,0.87,6.09,SPRING
Nevada,17,2017,14.0,0.0,2.0,14.29,0.0,14.29,SPRING
New Hampshire,17,2017,38.0,2.0,3.0,13.16,5.26,7.89,SPRING
New Mexico,17,2017,295.0,3.0,17.0,6.78,1.02,5.76,SPRING
New York,17,2017,1619.0,14.0,91.0,6.49,0.86,5.62,SPRING
North Carolina,17,2017,248.0,5.0,3.0,3.23,2.02,1.21,SPRING
North Dakota,17,2017,65.0,0.0,5.0,7.69,0.0,7.69,SPRING
Ohio,17,2017,1413.0,26.0,67.0,6.58,1.84,4.74,SPRING
Oklahoma,17,2017,154.0,0.0,1.0,0.65,0.0,0.65,SPRING
Oregon,17,2017,231.0,2.0,14.0,6.93,0.87,6.06,SPRING
Pennsylvania,17,2017,382.0,0.0,9.0,2.36,0.0,2.36,SPRING
South Carolina,17,2017,259.0,4.0,2.0,2.32,1.54,0.77,SPRING
South Dakota,17,2017,149.0,0.0,2.0,1.34,0.0,1.34,SPRING
Tennessee,17,2017,141.0,2.0,7.0,6.38,1.42,4.96,SPRING
Texas,17,2017,1464.0,33.0,48.0,5.53,2.25,3.28,SPRING
Utah,17,2017,596.0,12.0,15.0,4.53,2.01,2.52,SPRING
Vermont,17,2017,123.0,3.0,8.0,8.94,2.44,6.5,SPRING
Virginia,17,2017,174.0,2.0,9.0,6.32,1.15,5.17,SPRING
Washington,17,2017,406.0,4.0,14.0,4.43,0.99,3.45,SPRING
West Virginia,17,2017,274.0,8.0,1.0,3.28,2.92,0.36,SPRING
Wisconsin,17,2017,786.0,7.0,52.0,7.51,0.89,6.62,SPRING
Puerto Rico,17,2017,0.0,0.0,0.0,0.0,0.0,0.0,SPRING
Alabama,18,2017,335.0,2.0,17.0,5.67,0.6,5.07,SPRING
Arizona,18,2017,236.0,15.0,25.0,16.95,6.36,10.59,SPRING
Arkansas,18,2017,75.0,0.0,0.0,0.0,0.0,0.0,SPRING
California,18,2017,715.0,8.0,21.0,4.06,1.12,2.94,SPRING
Colorado,18,2017,454.0,14.0,26.0,8.81,3.08,5.73,SPRING
Connecticut,18,2017,322.0,1.0,19.0,6.21,0.31,5.9,SPRING
Delaware,18,2017,91.0,0.0,3.0,3.3,0.0,3.3,SPRING
Georgia,18,2017,555.0,9.0,19.0,5.05,1.62,3.42,SPRING
Hawaii,18,2017,114.0,4.0,1.0,4.39,3.51,0.88,SPRING
Idaho,18,2017,15.0,0.0,2.0,13.33,0.0,13.33,SPRING
Illinois,18,2017,269.0,3.0,12.0,5.58,1.12,4.46,SPRING
Indiana,18,2017,138.0,2.0,2.0,2.9,1.45,1.45,SPRING
Iowa,18,2017,128.0,0.0,6.0,4.69,0.0,4.69,SPRING
Kansas,18,2017,70.0,0.0,0.0,0.0,0.0,0.0,SPRING
Kentucky,18,2017,252.0,1.0,5.0,2.38,0.4,1.98,SPRING
Louisiana,18,2017,446.0,12.0,13.0,5.61,2.69,2.91,SPRING
Maine,18,2017,96.0,1.0,15.0,16.67,1.04,15.63,SPRING
Maryland,18,2017,101.0,0.0,6.0,5.94,0.0,5.94,SPRING
Massachusetts,18,2017,523.0,8.0,43.0,9.75,1.53,8.22,SPRING
Michigan,18,2017,712.0,1.0,16.0,2.39,0.14,2.25,SPRING
Minnesota,18,2017,371.0,2.0,17.0,5.12,0.54,4.58,SPRING
Mississippi,18,2017,44.0,2.0,0.0,4.55,4.55,0.0,SPRING
Missouri,18,2017,528.0,1.0,11.0,2.27,0.19,2.08,SPRING
Montana,18,2017,82.0,0.0,11.0,13.41,0.0,13.41,SPRING
Nebraska,18,2017,78.0,0.0,2.0,2.56,0.0,2.56,SPRING
New Hampshire,18,2017,23.0,0.0,1.0,4.35,0.0,4.35,SPRING
New Mexico,18,2017,295.0,1.0,20.0,7.12,0.34,6.78,SPRING
New York,18,2017,1484.0,7.0,46.0,3.57,0.47,3.1,SPRING
North Carolina,18,2017,206.0,1.0,3.0,1.94,0.49,1.46,SPRING
North Dakota,18,2017,50.0,0.0,2.0,4.0,0.0,4.0,SPRING
Ohio,18,2017,1165.0,6.0,28.0,2.92,0.52,2.4,SPRING
Oklahoma,18,2017,134.0,2.0,0.0,1.49,1.49,0.0,SPRING
Oregon,18,2017,233.0,2.0,18.0,8.58,0.86,7.73,SPRING
Pennsylvania,18,2017,293.0,1.0,9.0,3.41,0.34,3.07,SPRING
South Carolina,18,2017,205.0,3.0,5.0,3.9,1.46,2.44,SPRING
South Dakota,18,2017,144.0,0.0,5.0,3.47,0.0,3.47,SPRING
Tennessee,18,2017,112.0,1.0,2.0,2.68,0.89,1.79,SPRING
Texas,18,2017,1261.0,25.0,42.0,5.31,1.98,3.33,SPRING
Utah,18,2017,656.0,18.0,21.0,5.95,2.74,3.2,SPRING
Vermont,18,2017,57.0,2.0,2.0,7.02,3.51,3.51,SPRING
Virginia,18,2017,130.0,0.0,8.0,6.15,0.0,6.15,SPRING
Washington,18,2017,383.0,4.0,18.0,5.74,1.04,4.7,SPRING
West Virginia,18,2017,311.0,2.0,0.0,0.64,0.64,0.0,SPRING
Wisconsin,18,2017,683.0,5.0,49.0,7.91,0.73,7.17,SPRING
Puerto Rico,18,2017,0.0,0.0,0.0,0.0,0.0,0.0,SPRING
Alabama,19,2017,366.0,8.0,23.0,8.47,2.19,6.28,SPRING
Arizona,19,2017,242.0,8.0,27.0,14.46,3.31,11.16,SPRING
Arkansas,19,2017,65.0,0.0,2.0,3.08,0.0,3.08,SPRING
California,19,2017,689.0,7.0,29.0,5.22,1.02,4.21,SPRING
Colorado,19,2017,391.0,1.0,23.0,6.14,0.26,5.88,SPRING
Connecticut,19,2017,371.0,2.0,4.0,1.62,0.54,1.08,SPRING
Delaware,19,2017,65.0,0.0,4.0,6.15,0.0,6.15,SPRING
Georgia,19,2017,487.0,8.0,12.0,4.11,1.64,2.46,SPRING
Hawaii,19,2017,180.0,3.0,3.0,3.33,1.67,1.67,SPRING
Idaho,19,2017,15.0,0.0,0.0,0.0,0.0,0.0,SPRING
Illinois,19,2017,250.0,5.0,8.0,5.2,2.0,3.2,SPRING
Indiana,19,2017,123.0,1.0,4.0,4.07,0.81,3.25,SPRING
Iowa,19,2017,81.0,0.0,5.0,6.17,0.0,6.17,SPRING
Kansas,19,2017,52.0,0.0,0.0,0.0,0.0,0.0,SPRING
Kentucky,19,2017,230.0,1.0,1.0,0.87,0.43,0.43,SPRING
Louisiana,19,2017,530.0,15.0,19.0,6.42,2.83,3.58,SPRING
Maine,19,2017,67.0,1.0,7.0,11.94,1.49,10.45,SPRING
Maryland,19,2017,80.0,1.0,2.0,3.75,1.25,2.5,SPRING
Massachusetts,19,2017,476.0,6.0,23.0,6.09,1.26,4.83,SPRING
Michigan,19,2017,587.0,6.0,13.0,3.24,1.02,2.21,SPRING
Minnesota,19,2017,310.0,3.0,19.0,7.1,0.97,6.13,SPRING
Mississippi,19,2017,58.0,2.0,0.0,3.45,3.45,0.0,SPRING
Missouri,19,2017,509.0,3.0,3.0,1.18,0.59,0.59,SPRING
Montana,19,2017,92.0,0.0,2.0,2.17,0.0,2.17,SPRING
Nebraska,19,2017,89.0,0.0,2.0,2.25,0.0,2.25,SPRING
Nevada,19,2017,13.0,1.0,0.0,7.69,7.69,0.0,SPRING
New Hampshire,19,2017,24.0,2.0,3.0,20.83,8.33,12.5,SPRING
New Mexico,19,2017,214.0,1.0,11.0,5.61,0.47,5.14,SPRING
New York,19,2017,1370.0,2.0,35.0,2.7,0.15,2.55,SPRING
North Carolina,19,2017,67.0,0.0,1.0,1.49,0.0,1.49,SPRING
North Dakota,19,2017,35.0,0.0,1.0,2.86,0.0,2.86,SPRING
Ohio,19,2017,1114.0,8.0,21.0,2.6,0.72,1.89,SPRING
Oklahoma,19,2017,144.0,0.0,1.0,0.69,0.0,0.69,SPRING
Oregon,19,2017,217.0,1.0,9.0,4.61,0.46,4.15,SPRING
Pennsylvania,19,2017,234.0,0.0,7.0,2.99,0.0,2.99,SPRING
South Carolina,19,2017,193.0,1.0,2.0,1.55,0.52,1.04,SPRING
South Dakota,19,2017,122.0,0.0,3.0,2.46,0.0,2.46,SPRING
Tennessee,19,2017,115.0,0.0,2.0,1.74,0.0,1.74,SPRING
Texas,19,2017,1174.0,11.0,40.0,4.34,0.94,3.41,SPRING
Utah,19,2017,594.0,22.0,18.0,6.73,3.7,3.03,SPRING
Vermont,19,2017,78.0,4.0,1.0,6.41,5.13,1.28,SPRING
Virginia,19,2017,125.0,1.0,3.0,3.2,0.8,2.4,SPRING
Washington,19,2017,351.0,1.0,15.0,4.56,0.28,4.27,SPRING
West Virginia,19,2017,312.0,4.0,1.0,1.6,1.28,0.32,SPRING
Wisconsin,19,2017,609.0,6.0,22.0,4.6,0.99,3.61,SPRING
Puerto Rico,19,2017,0.0,0.0,0.0,0.0,0.0,0.0,SPRING
Alabama,20,2017,283.0,9.0,17.0,9.19,3.18,6.01,SPRING
Arizona,20,2017,220.0,16.0,25.0,18.64,7.27,11.36,SPRING
Arkansas,20,2017,52.0,0.0,2.0,3.85,0.0,3.85,SPRING
California,20,2017,701.0,4.0,29.0,4.71,0.57,4.14,SPRING
Colorado,20,2017,322.0,3.0,7.0,3.11,0.93,2.17,SPRING
Connecticut,20,2017,312.0,1.0,5.0,1.92,0.32,1.6,SPRING
Delaware,20,2017,45.0,1.0,1.0,4.44,2.22,2.22,SPRING
Georgia,20,2017,411.0,1.0,8.0,2.19,0.24,1.95,SPRING
Hawaii,20,2017,182.0,2.0,5.0,3.85,1.1,2.75,SPRING
Idaho,20,2017,15.0,0.0,0.0,0.0,0.0,0.0,SPRING
Illinois,20,2017,219.0,2.0,4.0,2.74,0.91,1.83,SPRING
Indiana,20,2017,135.0,0.0,4.0,2.96,0.0,2.96,SPRING
Iowa,20,2017,83.0,0.0,3.0,3.61,0.0,3.61,SPRING
Kansas,20,2017,67.0,0.0,2.0,2.99,0.0,2.99,SPRING
Kentucky,20,2017,211.0,0.0,2.0,0.95,0.0,0.95,SPRING
Louisiana,20,2017,509.0,15.0,13.0,5.5,2.95,2.55,SPRING
Maine,20,2017,48.0,0.0,6.0,12.5,0.0,12.5,SPRING
Maryland,20,2017,68.0,2.0,0.0,2.94,2.94,0.0,SPRING
Massachusetts,20,2017,431.0,6.0,19.0,5.8,1.39,4.41,SPRING
Michigan,20,2017,517.0,3.0,3.0,1.16,0.58,0.58,SPRING
Minnesota,20,2017,234.0,2.0,6.0,3.42,0.85,2.56,SPRING
Mississippi,20,2017,53.0,0.0,2.0,3.77,0.0,3.77,SPRING
Missouri,20,2017,491.0,1.0,4.0,1.02,0.2,0.81,SPRING
Montana,20,2017,80.0,1.0,4.0,6.25,1.25,5.0,SPRING
Nebraska,20,2017,84.0,0.0,3.0,3.57,0.0,3.57,SPRING
New Hampshire,20,2017,22.0,0.0,1.0,4.55,0.0,4.55,SPRING
New Mexico,20,2017,260.0,0.0,18.0,6.92,0.0,6.92,SPRING
New York,20,2017,1389.0,8.0,32.0,2.88,0.58,2.3,SPRING
North Carolina,20,2017,51.0,0.0,0.0,0.0,0.0,0.0,SPRING
North Dakota,20,2017,30.0,0.0,0.0,0.0,0.0,0.0,SPRING
Ohio,20,2017,983.0,3.0,20.0,2.34,0.31,2.03,SPRING
Oklahoma,20,2017,149.0,1.0,1.0,1.34,0.67,0.67,SPRING
Oregon,20,2017,195.0,0.0,15.0,7.69,0.0,7.69,SPRING
Pennsylvania,20,2017,206.0,1.0,1.0,0.97,0.49,0.49,SPRING
South Carolina,20,2017,176.0,1.0,4.0,2.84,0.57,2.27,SPRING
South Dakota,20,2017,146.0,0.0,1.0,0.68,0.0,0.68,SPRING
Tennessee,20,2017,114.0,3.0,3.0,5.26,2.63,2.63,SPRING
Texas,20,2017,1223.0,18.0,35.0,4.33,1.47,2.86,SPRING
Utah,20,2017,594.0,13.0,24.0,6.23,2.19,4.04,SPRING
Vermont,20,2017,61.0,0.0,3.0,4.92,0.0,4.92,SPRING
Virginia,20,2017,100.0,0.0,2.0,2.0,0.0,2.0,SPRING
Washington,20,2017,366.0,1.0,6.0,1.91,0.27,1.64,SPRING
West Virginia,20,2017,318.0,2.0,2.0,1.26,0.63,0.63,SPRING
Wisconsin,20,2017,529.0,3.0,28.0,5.86,0.57,5.29,SPRING
Puerto Rico,20,2017,0.0,0.0,0.0,0.0,0.0,0.0,SPRING
Alabama,21,2017,320.0,10.0,13.0,7.19,3.13,4.06,SPRING
Arizona,21,2017,228.0,4.0,40.0,19.3,1.75,17.54,SPRING
Arkansas,21,2017,46.0,0.0,2.0,4.35,0.0,4.35,SPRING
California,21,2017,685.0,7.0,31.0,5.55,1.02,4.53,SPRING
Colorado,21,2017,306.0,1.0,9.0,3.27,0.33,2.94,SPRING
Connecticut,21,2017,300.0,0.0,1.0,0.33,0.0,0.33,SPRING
Delaware,21,2017,28.0,0.0,0.0,0.0,0.0,0.0,SPRING
Georgia,21,2017,392.0,2.0,5.0,1.79,0.51,1.28,SPRING
Hawaii,21,2017,148.0,5.0,6.0,7.43,3.38,4.05,SPRING
Illinois,21,2017,200.0,0.0,2.0,1.0,0.0,1.0,SPRING
Indiana,21,2017,101.0,0.0,0.0,0.0,0.0,0.0,SPRING
Iowa,21,2017,67.0,0.0,2.0,2.99,0.0,2.99,SPRING
Kansas,21,2017,44.0,0.0,1.0,2.27,0.0,2.27,SPRING
Kentucky,21,2017,205.0,1.0,1.0,0.98,0.49,0.49,SPRING
Louisiana,21,2017,433.0,9.0,5.0,3.23,2.08,1.15,SPRING
Maine,21,2017,50.0,0.0,1.0,2.0,0.0,2.0,SPRING
Maryland,21,2017,57.0,0.0,0.0,0.0,0.0,0.0,SPRING
Massachusetts,21,2017,238.0,1.0,6.0,2.94,0.42,2.52,SPRING
Michigan,21,2017,451.0,1.0,15.0,3.55,0.22,3.33,SPRING
Minnesota,21,2017,206.0,3.0,6.0,4.37,1.46,2.91,SPRING
Mississippi,21,2017,72.0,2.0,0.0,2.78,2.78,0.0,SPRING
Missouri,21,2017,386.0,4.0,2.0,1.55,1.04,0.52,SPRING
Montana,21,2017,65.0,0.0,0.0,0.0,0.0,0.0,SPRING
Nebraska,21,2017,91.0,0.0,1.0,1.1,0.0,1.1,SPRING
New Hampshire,21,2017,20.0,0.0,0.0,0.0,0.0,0.0,SPRING
New Mexico,21,2017,195.0,0.0,8.0,4.1,0.0,4.1,SPRING
New York,21,2017,1216.0,4.0,16.0,1.64,0.33,1.32,SPRING
North Carolina,21,2017,50.0,1.0,0.0,2.0,2.0,0.0,SPRING
North Dakota,21,2017,15.0,0.0,0.0,0.0,0.0,0.0,SPRING
Ohio,21,2017,826.0,6.0,13.0,2.3,0.73,1.57,SPRING
Oklahoma,21,2017,127.0,1.0,0.0,0.79,0.79,0.0,SPRING
Oregon,21,2017,128.0,0.0,2.0,1.56,0.0,1.56,SPRING
Pennsylvania,21,2017,171.0,0.0,2.0,1.17,0.0,1.17,SPRING
South Carolina,21,2017,157.0,0.0,0.0,0.0,0.0,0.0,SPRING
South Dakota,21,2017,121.0,0.0,0.0,0.0,0.0,0.0,SPRING
Tennessee,21,2017,82.0,7.0,2.0,10.98,8.54,2.44,SPRING
Texas,21,2017,1210.0,12.0,32.0,3.64,0.99,2.64,SPRING
Utah,21,2017,484.0,7.0,14.0,4.34,1.45,2.89,SPRING
Vermont,21,2017,36.0,0.0,0.0,0.0,0.0,0.0,SPRING
Virginia,21,2017,98.0,0.0,1.0,1.02,0.0,1.02,SPRING
Washington,21,2017,403.0,0.0,11.0,2.73,0.0,2.73,SPRING
West Virginia,21,2017,249.0,0.0,0.0,0.0,0.0,0.0,SPRING
Wisconsin,21,2017,464.0,1.0,5.0,1.29,0.22,1.08,SPRING
Puerto Rico,21,2017,0.0,0.0,0.0,0.0,0.0,0.0,SPRING
Alabama,22,2017,241.0,6.0,11.0,7.05,2.49,4.56,SPRING
Arizona,22,2017,193.0,2.0,26.0,14.51,1.04,13.47,SPRING
Arkansas,22,2017,46.0,0.0,1.0,2.17,0.0,2.17,SPRING
California,22,2017,652.0,4.0,22.0,3.99,0.61,3.37,SPRING
Colorado,22,2017,260.0,0.0,3.0,1.15,0.0,1.15,SPRING
Connecticut,22,2017,281.0,1.0,3.0,1.42,0.36,1.07,SPRING
Delaware,22,2017,19.0,0.0,0.0,0.0,0.0,0.0,SPRING
Georgia,22,2017,357.0,4.0,2.0,1.68,1.12,0.56,SPRING
Hawaii,22,2017,136.0,0.0,6.0,4.41,0.0,4.41,SPRING
Illinois,22,2017,214.0,2.0,2.0,1.87,0.93,0.93,SPRING
Indiana,22,2017,82.0,1.0,0.0,1.22,1.22,0.0,SPRING
Iowa,22,2017,44.0,0.0,1.0,2.27,0.0,2.27,SPRING
Kansas,22,2017,50.0,1.0,0.0,2.0,2.0,0.0,SPRING
Kentucky,22,2017,193.0,0.0,1.0,0.52,0.0,0.52,SPRING
Louisiana,22,2017,355.0,7.0,14.0,5.92,1.97,3.94,SPRING
Maryland,22,2017,36.0,1.0,2.0,8.33,2.78,5.56,SPRING
Massachusetts,22,2017,227.0,1.0,1.0,0.88,0.44,0.44,SPRING
Michigan,22,2017,371.0,0.0,1.0,0.27,0.0,0.27,SPRING
Minnesota,22,2017,185.0,0.0,3.0,1.62,0.0,1.62,SPRING
Mississippi,22,2017,13.0,0.0,0.0,0.0,0.0,0.0,SPRING
Missouri,22,2017,363.0,0.0,0.0,0.0,0.0,0.0,SPRING
Montana,22,2017,83.0,0.0,0.0,0.0,0.0,0.0,SPRING
Nebraska,22,2017,48.0,0.0,0.0,0.0,0.0,0.0,SPRING
New Hampshire,22,2017,16.0,0.0,0.0,0.0,0.0,0.0,SPRING
New Mexico,22,2017,177.0,6.0,21.0,15.25,3.39,11.86,SPRING
New York,22,2017,1115.0,8.0,4.0,1.08,0.72,0.36,SPRING
North Carolina,22,2017,125.0,0.0,1.0,0.8,0.0,0.8,SPRING
North Dakota,22,2017,15.0,0.0,0.0,0.0,0.0,0.0,SPRING
Ohio,22,2017,757.0,4.0,5.0,1.19,0.53,0.66,SPRING
Oklahoma,22,2017,127.0,0.0,1.0,0.79,0.0,0.79,SPRING
Oregon,22,2017,121.0,1.0,4.0,4.13,0.83,3.31,SPRING
Pennsylvania,22,2017,151.0,0.0,0.0,0.0,0.0,0.0,SPRING
South Carolina,22,2017,133.0,0.0,4.0,3.01,0.0,3.01,SPRING
South Dakota,22,2017,116.0,0.0,0.0,0.0,0.0,0.0,SPRING
Tennessee,22,2017,80.0,2.0,3.0,6.25,2.5,3.75,SPRING
Texas,22,2017,1036.0,12.0,20.0,3.09,1.16,1.93,SPRING
Utah,22,2017,517.0,7.0,18.0,4.84,1.35,3.48,SPRING
Vermont,22,2017,49.0,0.0,1.0,2.04,0.0,2.04,SPRING
Virginia,22,2017,96.0,0.0,0.0,0.0,0.0,0.0,SPRING
Washington,22,2017,337.0,1.0,5.0,1.78,0.3,1.48,SPRING
West Virginia,22,2017,279.0,0.0,1.0,0.36,0.0,0.36,SPRING
Wisconsin,22,2017,352.0,0.0,5.0,1.42,0.0,1.42,SPRING
Puerto Rico,22,2017,0.0,0.0,0.0,0.0,0.0,0.0,SPRING
Alabama,23,2017,219.0,2.0,1.0,1.37,0.91,0.46,SPRING
Arizona,23,2017,172.0,3.0,17.0,11.63,1.74,9.88,SPRING
Arkansas,23,2017,33.0,0.0,1.0,3.03,0.0,3.03,SPRING
California,23,2017,626.0,5.0,20.0,3.99,0.8,3.19,SPRING
Colorado,23,2017,245.0,0.0,5.0,2.04,0.0,2.04,SPRING
Connecticut,23,2017,220.0,0.0,3.0,1.36,0.0,1.36,SPRING
Delaware,23,2017,12.0,0.0,0.0,0.0,0.0,0.0,SPRING
Georgia,23,2017,264.0,3.0,3.0,2.27,1.14,1.14,SPRING
Hawaii,23,2017,138.0,1.0,6.0,5.07,0.72,4.35,SPRING
Illinois,23,2017,177.0,0.0,1.0,0.56,0.0,0.56,SPRING
Indiana,23,2017,104.0,0.0,1.0,0.96,0.0,0.96,SPRING
Iowa,23,2017,59.0,0.0,0.0,0.0,0.0,0.0,SPRING
Kansas,23,2017,49.0,0.0,0.0,0.0,0.0,0.0,SPRING
Kentucky,23,2017,225.0,0.0,1.0,0.44,0.0,0.44,SPRING
Louisiana,23,2017,289.0,4.0,6.0,3.46,1.38,2.08,SPRING
Maryland,23,2017,47.0,0.0,0.0,0.0,0.0,0.0,SPRING
Massachusetts,23,2017,167.0,0.0,0.0,0.0,0.0,0.0,SPRING
Michigan,23,2017,292.0,1.0,7.0,2.74,0.34,2.4,SPRING
Minnesota,23,2017,124.0,0.0,1.0,0.81,0.0,0.81,SPRING
Mississippi,23,2017,47.0,1.0,0.0,2.13,2.13,0.0,SPRING
Missouri,23,2017,350.0,1.0,1.0,0.57,0.29,0.29,SPRING
Montana,23,2017,91.0,1.0,0.0,1.1,1.1,0.0,SPRING
Nebraska,23,2017,63.0,0.0,2.0,3.17,0.0,3.17,SPRING
New Hampshire,23,2017,10.0,0.0,0.0,0.0,0.0,0.0,SPRING
New Mexico,23,2017,170.0,3.0,14.0,10.0,1.76,8.24,SPRING
New York,23,2017,1112.0,0.0,5.0,0.45,0.0,0.45,SPRING
North Carolina,23,2017,104.0,1.0,1.0,1.92,0.96,0.96,SPRING
North Dakota,23,2017,12.0,0.0,0.0,0.0,0.0,0.0,SPRING
Ohio,23,2017,686.0,2.0,1.0,0.44,0.29,0.15,SPRING
Oklahoma,23,2017,105.0,0.0,1.0,0.95,0.0,0.95,SPRING
Oregon,23,2017,106.0,0.0,8.0,7.55,0.0,7.55,SPRING
Pennsylvania,23,2017,129.0,0.0,0.0,0.0,0.0,0.0,SPRING
South Carolina,23,2017,108.0,1.0,1.0,1.85,0.93,0.93,SPRING
South Dakota,23,2017,117.0,0.0,0.0,0.0,0.0,0.0,SPRING
Tennessee,23,2017,56.0,1.0,0.0,1.79,1.79,0.0,SPRING
Texas,23,2017,1100.0,5.0,15.0,1.82,0.45,1.36,SPRING
Utah,23,2017,364.0,4.0,10.0,3.85,1.1,2.75,SPRING
Vermont,23,2017,35.0,0.0,0.0,0.0,0.0,0.0,SPRING
Virginia,23,2017,155.0,1.0,1.0,1.29,0.65,0.65,SPRING
Washington,23,2017,302.0,0.0,3.0,0.99,0.0,0.99,SPRING
West Virginia,23,2017,305.0,10.0,0.0,3.28,3.28,0.0,SPRING
Wisconsin,23,2017,326.0,0.0,0.0,0.0,0.0,0.0,SPRING
Puerto Rico,23,2017,0.0,0.0,0.0,0.0,0.0,0.0,SPRING
Alabama,24,2017,156.0,3.0,1.0,2.56,1.92,0.64,SPRING
Arizona,24,2017,160.0,5.0,12.0,10.63,3.13,7.5,SPRING
Arkansas,24,2017,22.0,0.0,0.0,0.0,0.0,0.0,SPRING
California,24,2017,537.0,1.0,9.0,1.86,0.19,1.68,SPRING
Colorado,24,2017,174.0,2.0,1.0,1.72,1.15,0.57,SPRING
