YEAR,WEEK,ILITOTAL,TOTAL PATIENTS
2016,45,13,1961
2016,45,827,46592
2016,45,56,6476
2016,45,17,4197
2016,45,71,7261
2016,45,173,25019
2016,45,897,41410
2016,45,33,5539
2016,45,115,9419
2016,45,210,30910
2016,45,391,23858
2016,45,50,7420
2016,45,575,19242
2016,45,99,7918
2016,45,6,2787
2016,45,20,3419
2016,45,189,17530
2016,45,19,4119
2016,45,356,13686
2016,45,151,11178
2016,45,194,15806
2016,45,243,17343
2016,45,2,1261
2016,45,139,18260
2016,45,118,4825
2016,45,81,5968
2016,45,187,15842
2016,45,23,5087
2016,45,78,4961
2016,45,96,8808
2016,45,163,9227
2016,45,607,29111
2016,45,247,24098
2016,45,5,2389
2016,45,1741,88783
2016,45,21,4651
2016,45,178,25551
2016,45,49,3858
2016,45,36,4282
2016,45,351,4971
2016,45,14,378
2016,45,2044,98996
2016,46,222,7879
2016,46,18,1605
2016,46,389,28005
2016,46,81,4594
2016,46,993,55887
2016,46,41,3921
2016,46,69,4256
2016,46,4,2895
2016,46,135,2451
2016,46,1440,56126
2016,46,24,1420
2016,46,13,1924
2016,46,899,48074
2016,46,36,6423
2016,46,14,3477
2016,46,70,6799
2016,46,259,22028
2016,46,980,46596
2016,46,43,5650
2016,46,91,10122
2016,46,255,31597
2016,46,401,24237
2016,46,61,6389
2016,46,432,16066
2016,46,120,8538
2016,46,5,3428
2016,46,13,3173
2016,46,161,18132
2016,46,15,4239
2016,46,433,15909
2016,46,152,11715
2016,46,182,16235
2016,46,265,16777
2016,46,6,1608
2016,46,149,20556
2016,46,157,4657
2016,46,44,5689
2016,46,186,14907
2016,46,19,5723
2016,46,118,6459
2016,46,117,8508
2016,46,226,10464
2016,46,673,29924
2016,46,233,23798
2016,46,9,2918
2016,46,1895,92413
2016,46,28,4831
2016,46,152,15232
2016,46,38,3890
2016,46,22,4226
2016,46,394,5175
2016,46,20,423
2016,46,2143,102404
2016,47,134,5113
2016,47,13,1299
2016,47,218,16533
2016,47,45,2755
2016,47,865,40334
2016,47,17,2444
2016,47,42,2302
2016,47,1,2016
2016,47,92,1405
2016,47,1505,49314
2016,47,25,1083
2016,47,10,1322
2016,47,744,38743
2016,47,37,3958
2016,47,9,1556
2016,47,98,5016
2016,47,181,20557
2016,47,1032,46634
2016,47,27,3740
2016,47,109,6603
2016,47,185,21836
2016,47,266,17482
2016,47,60,5464
2016,47,603,16784
2016,47,99,5370
2016,47,4,2619
2016,47,12,2097
2016,47,198,16725
2016,47,10,2805
2016,47,470,14189
2016,47,130,9329
2016,47,194,11098
2016,47,218,11138
2016,47,5,1052
2016,47,104,13044
2016,47,110,3615
2016,47,45,4387
2016,47,139,9992
2016,47,10,3342
2016,47,110,4595
2016,47,92,7275
2016,47,239,7397
2016,47,550,21211
2016,47,245,21278
2016,47,10,1997
2016,47,1995,86851
2016,47,21,2954
2016,47,119,10547
2016,47,21,2368
2016,47,21,3211
2016,47,403,4041
2016,47,30,393
2016,47,2124,88256
2016,48,209,7753
2016,48,17,1533
2016,48,333,24662
2016,48,59,4444
2016,48,1091,54340
2016,48,67,4035
2016,48,71,4301
2016,48,1,2857
2016,48,195,2897
2016,48,1538,57314
2016,48,31,1487
2016,48,19,1895
2016,48,860,48951
2016,48,60,6394
2016,48,27,4446
2016,48,125,7789
2016,48,356,25521
2016,48,1071,45866
2016,48,44,5395
2016,48,114,10120
2016,48,220,31811
2016,48,267,24645
2016,48,118,7733
2016,48,536,17573
2016,48,141,7540
2016,48,1,3714
2016,48,29,3642
2016,48,240,18608
2016,48,13,4347
2016,48,501,16947
2016,48,155,11427
2016,48,261,16048
2016,48,280,17358
2016,48,4,611
2016,48,193,20279
2016,48,171,5324
2016,48,60,5905
2016,48,173,15359
2016,48,18,5331
2016,48,170,6770
2016,48,112,8894
2016,48,243,10449
2016,48,696,27895
2016,48,320,24606
